ID2,NOMBRE,TIPO,DOMICILIO,TELEFONO,NOM_MAPA,BARRIOS,COMUNA,CORREO,LONGITUDE,LATITUDE,GEOJSON
1,JOAQUÍN V. GONZÁLEZ,BIBLIOTECA,408 SUAREZ,4302-2481,Joaquín V. González,BOCA,4,biblioteca_gonzalez@buenosaires.gob.ar,-58.3589206455344,-34.635535780018,"{""type"":""Point"",""coordinates"":[-58.35892,-34.63554]}"
2,INT. JULIO C. SAGUIER,BIBLIOTECA,4801 DELLEPIANE LUIS TTE. GRAL.,4635-4009,Int. Julio C. Saguier,VILLA LUGANO,8,biblioteca_saguier@buenosaires.gob.ar,-58.474366731404,-34.6652031696477,"{""type"":""Point"",""coordinates"":[-58.47437,-34.6652]}"
3,JAVIER VILLAFAŃE,BIBLIOTECA,1800 ANA MARÍA JANER,4919-0058,Javier Villafańe,NUEVA POMPEYA,4,biblioteca_villafane@buenosaires.gob.ar,-58.4332546419593,-34.6458945421811,"{""type"":""Point"",""coordinates"":[-58.43325,-34.64589]}"
40,LA BALSA,BIBLIOTECA COMUNITARIA,"48 URQUIZA, Gral",,La Balsa,BALVANERA,3,,-58.4100760582585,-34.6109568089575,"{""type"":""Point"",""coordinates"":[-58.41008,-34.61096]}"
4,HILARIO ASCASUBI,BIBLIOTECA,"4219 DIAZ, CESAR, GRAL.",4566-5171,Hilario Ascasubi,FLORESTA,10,biblioteca_ascasubi@buenosaires.gob.ar,-58.4924014536557,-34.6233017576432,"{""type"":""Point"",""coordinates"":[-58.4924,-34.6233]}"
5,ENRIQUE BANCHS,BIBLIOTECA,"CASEROS AV. & URQUIZA, GRAL.",4943-1078,Enrique Banchs,PARQUE PATRICIOS,4,biblioteca_banchs@buenosaires.gob.ar,-58.4075548622494,-34.637461447729,"{""type"":""Point"",""coordinates"":[-58.40755,-34.63746]}"
6,EVARISTO CARRIEGO,BIBLIOTECA,3784 HONDURAS,4963-2194,Evaristo Carriego,PALERMO,14,biblioteca_carriego@buenosaires.gob.ar,-58.4160424600285,-34.5942603275212,"{""type"":""Point"",""coordinates"":[-58.41604,-34.59426]}"
7,MIGUEL CANÉ,BIBLIOTECA,"4319 CALVO, CARLOS AV.",4922-0020,Miguel Cané,BOEDO,5,preguntaleacane@buenosaires.gob.ar,-58.4262412283741,-34.6248917232318,"{""type"":""Point"",""coordinates"":[-58.42624,-34.62489]}"
8,ANEXO ALFONSINA STORNI,BIBLIOTECA,1538 VENEZUELA,4381-9345,Anexo Alfonsina Storni,MONSERRAT,1,biblioteca_storni@buenosaires.gob.ar,-58.3880470210126,-34.6148615562779,"{""type"":""Point"",""coordinates"":[-58.38805,-34.61486]}"
9,CANËNIGO LUIS CHORROARÍN,BIBLIOTECA,5059 SOLDADO DE LA FRONTERA AV.,4605-9341,Canónigo Luis Chorroarín,VILLA LUGANO,8,biblioteca_chorroarin@buenosaires.gob.ar,-58.4650108088292,-34.6841274853865,"{""type"":""Point"",""coordinates"":[-58.46501,-34.68413]}"
10,ESTANISLAO DEL CAMPO,BIBLIOTECA,1210 DE LAS ARTES,4926-0161,Estanislao Del Campo,PARQUE CHACABUCO,7,biblioteca_delcampo@buenosaires.gob.ar,-58.438235286088,-34.6339047276694,"{""type"":""Point"",""coordinates"":[-58.43824,-34.6339]}"
11,ANTONIO DEVOTO,BIBLIOTECA,4025 BAHÍA BLANCA,4501-4320,Antonio Devoto,VILLA DEVOTO,11,biblioteca_devoto@buenosaires.gob.ar,-58.5107249011565,-34.5992836706781,"{""type"":""Point"",""coordinates"":[-58.51072,-34.59928]}"
12,BALDOMERO FERNÁNDEZ MORENO,BIBLIOTECA,"4206 ARENAL, CONCEPCION",4855-7508,Baldomero Fernández Moreno,CHACARITA,15,biblioteca_fmoreno@buenosaires.gob.ar,-58.4501520757481,-34.5913622953205,"{""type"":""Point"",""coordinates"":[-58.45015,-34.59136]}"
13,MANUEL GÁLVEZ,BIBLIOTECA,1558 CORDOBA AV.,4812-4723,Manuel Gálvez,SAN NICOLAS,1,biblioteca_galvez@buenosaires.gob.ar,-58.3889929977264,-34.5995823324868,"{""type"":""Point"",""coordinates"":[-58.38899,-34.59958]}"
44,OSVALDO SORIANO,BIBLIOTECA COMUNITARIA,INCLAN & MUŃIZ,,Osvaldo Soriano,BOEDO,5,,-58.4239068704048,-34.6335762808097,"{""type"":""Point"",""coordinates"":[-58.42391,-34.63358]}"
14,CARLOS GUIDO Y SPANO,BIBLIOTECA,4601 GUEMES,4773-5862,Carlos Guido y Spano,PALERMO,14,biblioteca_guidoyspano@buenosaires.gob.ar,-58.4236360749348,-34.5813437020408,"{""type"":""Point"",""coordinates"":[-58.42364,-34.58134]}"
15,RICARDO GÜIRALDES,BIBLIOTECA,1261 TALCAHUANO,4812-1840 Int. 110,Ricardo Güiraldes,RETIRO,1,biblioteca_guiraldes@buenosaires.gob.ar,-58.3858145565655,-34.5933969470296,"{""type"":""Point"",""coordinates"":[-58.38581,-34.5934]}"
16,JOSÉ HERNÁNDEZ,BIBLIOTECA,6753 BOQUERON,4641-3673,José Hernández,LINIERS,9,biblioteca_josehernandez@buenosaires.gob.ar,-58.5209262728893,-34.6462203417999,"{""type"":""Point"",""coordinates"":[-58.52093,-34.64622]}"
